Sold-to party,Purchase order date,Sale Amount,Product Name/ID
1007429,10/2/2019,207.65,2200-48450-025
1015820,10/1/2019,1349.3,198427
1007429,10/2/2019,207.65,2200-48450-025
1017926,10/1/2019,221.88,271638
1007429,10/2/2019,207.65,2200-48450-025
1007429,10/2/2019,93.64,2200-40350-012
1007429,10/2/2019,207.65,2200-48450-025
1019337,10/1/2019,20.76,209745-101
1019190,10/1/2019,1380.27,14401-03
1007429,10/2/2019,93.64,2200-48300-025
1007429,10/2/2019,37.47,2200-48560-012
1007429,10/2/2019,93.64,2200-48300-025
1007429,10/2/2019,37.47,2200-48560-012
1007429,10/2/2019,74.94,2200-48560-012
1037279,10/1/2019,560.16,14201-10
1037279,10/1/2019,560.16,14201-10
1021104,10/1/2019,9508.24,209747-101
1021104,10/1/2019,9508.24,207325-12
1021104,10/1/2019,9508.24,26716-01
1039952,10/1/2019,736.16,20952005
1017922,10/1/2019,1294.24,271634
1017922,10/1/2019,1294.24,271632
1017922,10/1/2019,1294.24,271632
1017922,10/1/2019,1294.24,271632
1017922,10/1/2019,1294.24,266111
1021887,10/1/2019,844.32,16530
1039952,10/1/2019,240.8,20952031
1007429,10/4/2019,449.4,2200-46350-025
1007429,10/4/2019,449.4,2200-46350-025
1017722,10/1/2019,175,209745-101
1039952,10/1/2019,736.16,20952078
1039952,10/1/2019,736.16,20952065
1016010,10/1/2019,19527.4,201852-02
1039952,10/1/2019,736.16,20952156
1021007,10/1/2019,389.32,30513
1023108,10/1/2019,5110,45880475L
1021007,10/1/2019,389.32,30512
1021887,10/1/2019,5777.27,16704
1021259,10/1/2019,36.27,209750-101
1021887,10/1/2019,5777.27,10094
1039952,10/1/2019,1553.36,20952005
1021887,10/1/2019,5777.27,10945
1039952,10/1/2019,1553.36,20952078
1021887,10/1/2019,5777.27,10945
1021887,10/1/2019,5777.27,10941
1039952,10/1/2019,1553.36,20952065
1017926,10/1/2019,32370.29,233112
1017926,10/1/2019,32370.29,239017
1017926,10/1/2019,32370.29,293210
1017926,10/1/2019,32370.29,293198
1021123,10/1/2019,93.42,2303-820-104
1017926,10/1/2019,32370.29,233016
1017926,10/1/2019,32370.29,233022
1017926,10/1/2019,32370.29,293108
1019900,10/1/2019,276.63,20952031
1017926,10/1/2019,32370.29,293114
1018933,10/1/2019,350,2200-40350-015
1017926,10/1/2019,32370.29,233106
1017926,10/1/2019,32370.29,239011
1007429,10/2/2019,37.47,2200-48560-012
1007429,10/4/2019,37.47,2200-48560-012
1007020,10/1/2019,1123.2,230030
1007020,10/1/2019,1123.2,230150
1018933,10/1/2019,350,2200-40450-019
1020167,10/1/2019,5910.93,2200-48300-025
1030343,10/1/2019,1309.29,201859-02
1020167,10/1/2019,5910.93,2200-66700-025
1020947,10/1/2019,29.54,275618
1020167,10/1/2019,5910.93,2200-40450-025
1022328,10/1/2019,5868.65,10930A
1035381,10/1/2019,4428.2,206110-101
1022328,10/1/2019,5868.65,10945
1016843,10/1/2019,77.33,203191-01
1021259,10/1/2019,92.49,206110-101
1007429,10/3/2019,1250.2,2200-48500-025
1022328,10/1/2019,5868.65,16701
1006446,10/1/2019,5134,WGGS-JUN-SVC-SUP-SRX345JSB
1007429,10/3/2019,1250.2,2200-48500-025
1006446,10/1/2019,5134,WGEM-JUN-AOH-SVC-RTF-SRX345HW
1007429,10/3/2019,74.94,2200-48560-012
1022328,10/1/2019,5868.65,16713
1006446,10/1/2019,5134,WGGS-JUN-AOH-SVC-RTF-SRX345HW
1022896,10/1/2019,1871.21,16532
1022896,10/1/2019,1871.21,10304
1021447,10/1/2019,143.52,201081-01
1022896,10/1/2019,1871.21,10051H
1019337,10/1/2019,46.54,207576-01
1040426,10/1/2019,947.85,20350244
1019337,10/1/2019,1231.17,10034
1040426,10/1/2019,947.85,20350824
1007429,10/3/2019,74.94,2200-48560-012
1012612,10/1/2019,6520.31,01-SSC-1480
1017260,10/1/2019,6075.3,16534
1007429,10/4/2019,37.47,2200-48560-012
1007429,10/4/2019,37.47,2200-48560-012
1019337,10/1/2019,210.9,207326-02
1042435,10/1/2019,1106.52,20952031
1040425,10/1/2019,1761.4,20351207
1007429,10/3/2019,1750.28,2200-48500-025
1040425,10/1/2019,1761.4,20952005
1016843,10/1/2019,4896,207326-02
1007429,10/3/2019,1750.28,2200-48500-025
1040425,10/1/2019,1761.4,20350247
1007429,10/10/2019,1250.2,2200-48500-025
1007429,10/10/2019,1250.2,2200-48500-025
1020252,10/2/2019,246.99,206110-101
1040425,10/1/2019,1761.4,20952156
1007429,10/4/2019,37.47,2200-48560-012
1007429,10/4/2019,37.47,2200-48560-012
1040425,10/1/2019,1761.4,20952065
1019337,10/2/2019,18.36,209744-101
1040425,10/1/2019,1761.4,20351208
1019776,10/2/2019,225.99,207414-03
1040425,10/1/2019,1761.4,20350236
1019776,10/2/2019,225.99,209747-101
1013039,10/2/2019,4634.81,01-SSC-1892
1040425,10/1/2019,1761.4,20329239
1022157,10/2/2019,2275,202652-04
1021104,10/2/2019,155.75,203946-02
1021887,10/1/2019,27121.6,16710
1007429,10/9/2019,1250.2,2200-48500-025
1020145,10/2/2019,2948.4,31029
1007429,10/9/2019,1250.2,2200-48500-025
1021887,10/1/2019,27121.6,10094
1021367,10/1/2019,1805.25,2406-820-204
1007429,10/4/2019,500.08,2200-48500-025
1021887,10/1/2019,27121.6,10311
1015794,10/1/2019,765.4,14201-35
1020145,10/2/2019,2948.4,31029
1007429,10/2/2019,3114.75,2200-48450-025
1007429,10/4/2019,500.08,2200-48500-025
1007429,10/2/2019,3114.75,2200-48450-025
1007429,10/4/2019,1503.49,2200-48450-025
1021104,10/2/2019,127.22,201859-01
1021887,10/1/2019,27121.6,16704
1007429,10/4/2019,207.65,2200-48450-025
1007429,10/4/2019,1503.49,2200-48450-025
1007429,10/4/2019,207.65,2200-48450-025
1021104,10/2/2019,127.22,207577-01
1007429,10/4/2019,1503.49,2200-44514-002
1021887,10/1/2019,27121.6,10945
1042125,10/2/2019,36.74,209751-101
1007429,10/3/2019,207.65,2200-48450-025
1007429,10/3/2019,207.65,2200-48450-025
1011393,10/2/2019,2291.4,16804
1007429,10/2/2019,74.94,2200-48560-012
1016158,10/2/2019,5486.25,2200-48500-025
1021887,10/1/2019,27121.6,10941
1007429,10/4/2019,465.24,2200-48450-025
1021259,10/2/2019,92.49,206110-101
1019794,10/1/2019,148.56,209745-101
1007429,10/4/2019,465.24,2200-48450-025
1007429,10/4/2019,465.24,2200-44514-002
1021976,10/2/2019,92.49,206110-101
1017926,10/1/2019,21521.03,251662
1031035,10/2/2019,8129.22,2200-16200-030
1017926,10/1/2019,21521.03,233024
1021976,10/2/2019,92.49,206110-101
1017926,10/1/2019,21521.03,238269
1017926,10/1/2019,21521.03,257065
1017926,10/1/2019,21521.03,255829
1017926,10/1/2019,21521.03,232729
1017926,10/1/2019,21521.03,251644
1020984,10/2/2019,2583.08,10034
1017926,10/1/2019,21521.03,251638
1017926,10/1/2019,21521.03,238382
1017926,10/1/2019,21521.03,230404
1024614,10/2/2019,657.79,271631
1017926,10/1/2019,21521.03,230170
1021976,10/2/2019,107.1,202652-03
1024614,10/2/2019,657.79,271629
1020984,10/2/2019,2583.08,16533
1017926,10/1/2019,21521.03,238383
1017643,10/2/2019,60.68,229444
1017926,10/1/2019,21521.03,233018
